,stack,express,action
32,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'init', 'IDN', 'type']","['int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
33,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'init', 'IDN', 'int']","['int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : int
34,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'init', 'IDN']","['IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : IDN
35,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'init']","['=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
36,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'expression', '=']","['=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : =
37,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'expression']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
38,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
39,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
40,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_', 'factor']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
41,"['#', 'funcs', '}', 'stmts', 'define_stmts', 'define_stmts', 'define_stmts', ';', 'vars', 'operation', 'value_', 'item_', 'const']","['INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
